build_utc,river,place,lat,lon,q_now_m3s,pct_of_median,date,q_forecast_from_date
2026-09-25T15:54Z,Indus,Leh,34.13,77.45,280.19,158,2026-09-25,"[280.19, 268.77, 257.82, 249.03, 242.22, 235.05, 227.56]"
2026-09-25T15:54Z,Indus,Skardu,35.48,75.4,1255.03,132,2026-09-25,"[1255.03, 1217.99, 1184.77, 1147.15, 1113.29, 1082.93, 1053.39]"
2026-09-25T15:54Z,Jhelum,Srinagar,34.23,74.65,228.61,89,2026-09-25,"[228.61, 224.94, 220.31, 216.27, 212.3, 207.93, 203.17]"
2026-09-25T15:54Z,Chenab,Akhnoor,32.815,74.59,478.73,84,2026-09-25,"[478.73, 471.06, 460.32, 450.86, 442.61, 431.51, 421.67]"
2026-09-25T15:54Z,Sutlej,Rampur,31.375,77.48,244.47,111,2026-09-25,"[244.47, 240.55, 237.23, 237.78, 238.33, 235.05, 230.21]"
2026-09-25T15:54Z,Beas,Mandi,31.785,76.855,321.85,91,2026-09-25,"[321.85, 316.69, 310.89, 305.9, 303.09, 298.92, 293.44]"
2026-09-25T15:54Z,Yamuna,Dakpathar,30.425,77.65,442.61,109,2026-09-25,"[442.61, 424.6, 413.95, 427.55, 439.55, 429.53, 412.05]"
2026-09-25T15:54Z,Ganga,Rishikesh,29.95,78.15,960.61,106,2026-09-25,"[960.61, 925.83, 936.56, 1027.02, 1115.86, 1108.18, 1063.14]"
2026-09-25T15:54Z,Alaknanda,Srinagar (Garhwal),30.22,78.63,495.59,110,2026-09-25,"[495.59, 478.73, 468.89, 513.04, 556.19, 549.81, 529.88]"
2026-09-25T15:54Z,Kali / Sharda,Tanakpur,28.92,79.96,947.42,90,2026-09-25,"[947.42, 919.45, 1287.25, 1366.73, 1385.76, 1326.39, 1246.38]"
2026-09-25T15:54Z,Karnali,Chisapani,28.565,81.215,2408.91,94,2026-09-25,"[2408.91, 3302.7, 5235.01, 4987.84, 4225.69, 3757.37, 3458.39]"
2026-09-25T15:54Z,Narayani / Gandaki,Narayanghat,27.7,84.355,3205.27,105,2026-09-25,"[3205.27, 4741.42, 6279.59, 6024.6, 5068.91, 4404.55, 4007.67]"
2026-09-25T15:54Z,Koshi,Chatara,26.795,87.085,4612.18,132,2026-09-25,"[4612.18, 5210.95, 4486.45, 3862.67, 3514.6, 3287.52, 3103.56]"
2026-09-25T15:54Z,Teesta,Sevoke,26.75,88.545,1065.6,121,2026-09-25,"[1065.6, 1347.96, 1190.24, 1041.32, 921.57, 821.24, 738.61]"
2026-09-25T15:54Z,Siang / Brahmaputra,Pasighat,28.06,95.33,5127.61,91,2026-09-25,"[5127.61, 5022.43, 4807.39, 4601.57, 4424.88, 4245.2, 4101.04]"
2026-09-25T16:00Z,Indus,Leh,34.13,77.45,280.19,158,2026-09-25,"[280.19, 268.77, 257.82, 249.03, 242.22, 235.05, 227.56]"
2026-09-25T16:00Z,Indus,Skardu,35.48,75.4,1255.03,132,2026-09-25,"[1255.03, 1217.99, 1184.77, 1147.15, 1113.29, 1082.93, 1053.39]"
2026-09-25T16:00Z,Jhelum,Srinagar,34.23,74.65,228.61,89,2026-09-25,"[228.61, 224.94, 220.31, 216.27, 212.3, 207.93, 203.17]"
2026-09-25T16:00Z,Chenab,Akhnoor,32.815,74.59,478.73,84,2026-09-25,"[478.73, 471.06, 460.32, 450.86, 442.61, 431.51, 421.67]"
2026-09-25T16:00Z,Sutlej,Rampur,31.375,77.48,244.47,111,2026-09-25,"[244.47, 240.55, 237.23, 237.78, 238.33, 235.05, 230.21]"
2026-09-25T16:00Z,Beas,Mandi,31.785,76.855,321.85,91,2026-09-25,"[321.85, 316.69, 310.89, 305.9, 303.09, 298.92, 293.44]"
2026-09-25T16:00Z,Yamuna,Dakpathar,30.425,77.65,442.61,109,2026-09-25,"[442.61, 424.6, 413.95, 427.55, 439.55, 429.53, 412.05]"
2026-09-25T16:00Z,Ganga,Rishikesh,29.95,78.15,960.61,106,2026-09-25,"[960.61, 925.83, 936.56, 1027.02, 1115.86, 1108.18, 1063.14]"
2026-09-25T16:00Z,Alaknanda,Srinagar (Garhwal),30.22,78.63,495.59,110,2026-09-25,"[495.59, 478.73, 468.89, 513.04, 556.19, 549.81, 529.88]"
2026-09-25T16:00Z,Kali / Sharda,Tanakpur,28.92,79.96,947.42,90,2026-09-25,"[947.42, 919.45, 1287.25, 1366.73, 1385.76, 1326.39, 1246.38]"
2026-09-25T16:00Z,Karnali,Chisapani,28.565,81.215,2408.91,94,2026-09-25,"[2408.91, 3302.7, 5235.01, 4987.84, 4225.69, 3757.37, 3458.39]"
2026-09-25T16:00Z,Narayani / Gandaki,Narayanghat,27.7,84.355,3205.27,105,2026-09-25,"[3205.27, 4741.42, 6279.59, 6024.6, 5068.91, 4404.55, 4007.67]"
2026-09-25T16:00Z,Koshi,Chatara,26.795,87.085,4612.18,132,2026-09-25,"[4612.18, 5210.95, 4486.45, 3862.67, 3514.6, 3287.52, 3103.56]"
2026-09-25T16:00Z,Teesta,Sevoke,26.75,88.545,1065.6,121,2026-09-25,"[1065.6, 1347.96, 1190.24, 1041.32, 921.57, 821.24, 738.61]"
2026-09-25T16:00Z,Siang / Brahmaputra,Pasighat,28.06,95.33,5127.61,91,2026-09-25,"[5127.61, 5022.43, 4807.39, 4601.57, 4424.88, 4245.2, 4101.04]"
